Below is the index of all known Key Events (KEs).
    Each line is in the format [id|title], where id is the unique KE number, and title is the KE name.
383|Reduced, Presynaptic release of glutamate
122|Increase, Glucocorticoid receptor activation
202|Inhibition, Nuclear factor kappa B (NF-kB)
152|Suppression, Inflammatory cytokines
168|Decreased, Lymphocytes
145|Induction, IKB inhibitory protein
323|Increased, Disease susceptibility
403|Suppression, Immune system
336|Increase, Heritable mutations in offspring
97|Alkylation, DNA
185|Increase, Mutations
155|Inadequate DNA repair
351|Increased Mortality
12|Acetylcholinesterase (AchE) Inhibition
10|Acetylcholine accumulation in synapses
445|Respiratory distress/arrest
39|Increased Cholinergic Signaling
1703|Dysregulation of heart rate and vascular tone
360|Decrease, Population growth rate
1487|Binding, Thiol/seleno-proteins involved in protection against oxidative stress
1392|Increase, Oxidative Stress
1488|Glutamate dyshomeostasis
1492|Tissue resident cell activation
1493|Increased Pro-inflammatory mediators
1538|Decreased protection against oxidative stress
227|Activation, PPARα
266|Decrease, Steroidogenic acute regulatory protein (STAR)
447|Reduction, Cholesterol transport in mitochondria
413|Reduction, Testosterone synthesis in Leydig cells
289|Decrease, Translocator protein (TSPO)
348|Malformation, Male reproductive tract
1690|Decrease, circulating testosterone levels
310|Alteration, Wnt pathway
240|Feminisation or incomplete development, Primary and accessory male sex organs
286|Altered, Transcription of genes by the androgen receptor
337|N/A, Impairment of reproductive capacity
26|Antagonism, Androgen receptor
18|Activation, AhR
944|dimerization, AHR/ARNT
317|Altered, Cardiovascular development/function
1269|Increase, COX-2 expression
947|Increase, Early Life Stage Mortality
25|Agonism, Androgen receptor
274|Reduction, Testosterone synthesis by ovarian theca cells
285|Reduction, Vitellogenin synthesis in liver
78|Reduction, Cumulative fecundity and spawning
221|Reduction, Plasma vitellogenin concentrations
309|Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development
129|Reduction, Gonadotropins, circulating concentrations
36|Inhibition, Aromatase
51|Inhibition, Ca++ ATPase
50|Increase, Ca++ (intracellular)
178|Mitochondrial electron transport chain, disrupted
40|Mitochondrial ATP production, decreased
193|Decreased, Nitric Oxide
166|Decreased, Long-term potentiation (LTP)
1115|Increase, Reactive oxygen species
41|Inhibition, Bile Salt Export Pump (ABCB11)
288|Activation of specific nuclear receptors, Transcriptional change
214|Bile accumulation, Pathological condition
87|Release, Cytokine
149|Increase, Inflammation
209|Peptide Oxidation
357|Cholestasis, Pathology
79|Inhibition, Cyclooxygenase activity
243|Reduction, Prostaglandin E2 concentration
49|Reduction, Ca and HCO3 transport to shell gland
106|Reduction, Eggshell thickness
119|N/A, Gap
253|N/A, Reproductive failure
111|Agonism, Estrogen receptor
220|Increase, Plasma vitellogenin concentrations
307|Increase, Vitellogenin synthesis in liver
252|Increase, Renal pathology due to VTG deposition
363|Altered, Reproductive behaviour
339|Altered, Larval development
364|Impaired development of, Reproductive organs
112|Antagonism, Estrogen receptor
213|N/A, Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III)
21|Altered regulation, Alpha hemoglobin
250|Damaging, Red blood cells; hemolysis
118|Formation, Formation of hemoglobin adducts
131|Down Regulation, Gulcose-6-phosphate dehydrogenase
246|Increase, RBC congestion in liver
161|Increase, Liver and splenic hemosiderosis
173|N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number
321|N/A, Cyanosis occurs
77|Production, Critical Metabolites (CGA 330050 and CGA 265307)
164|Induction, Liver “Dysfunctional” Changes by CGA 330050
147|Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307
270|Induction, Sustained Hepatotoxicity
269|Induction, Sustained Cell Proliferation
347|Formation, Liver tumor
9|Activation, 5HT2c
759|Increased, Kidney Failure
167|Activation, LXR
54|Up Regulation, CD36
115|Increase, Fatty acid influx
66|Activation, ChREBP
264|Activation, SREBP-1c
116|Activation, FAS
258|Activation, SCD-1
89|Synthesis, De Novo Fatty Acid (FA)
291|Accumulation, Triglyceride
345|N/A, Liver Steatosis
228|peroxisome proliferator activated receptor promoter demethylation
46|Accumulation, Biological membranes
169|Disruption, Membrane integrity
231|Decreased, PPAR-alpha activation
232|Decreased, PPAR-beta activation
233|Decreased, PPAR-gamma activation
327|Accumulation, Fatty acid
140|Decreased, HSD17B10 expression
179|Decrease, Fatty acid beta-oxidation
8|Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity
459|Increase, Liver steatosis
1170|Increase, Phenotypic enzyme activity
716|Increase, cell proliferation (hepatocytes)
1171|Increase, Clonal Expansion of Altered Hepatic Foci
719|Increase, hepatocellular adenomas and carcinomas
344|Increase, Liver fibrosis
244|Alkylation, Protein
265|Increase, Hepatic stellate cell activation
68|Increase, Collagen accumulation
313|Increase, Allergic Respiratory Hypersensitivity Response
398|Activation, Dendritic Cells
272|Activation/Proliferation, T-cells
396|Covalent Binding, Protein
1496|Increased, secretion of proinflammatory mediators
827|sensitisation, skin
826|Activation, Keratinocytes
139|N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects
165|Activation, Long term AHR receptor driven direct and indirect gene expression changes
853|Changes/Inhibition, Cellular Homeostasis and Apoptosis
854|Alterations, Cellular proliferation / hyperplasia
856|Formation, Hepatocellular and Bile duct tumors
279|Thyroperoxidase, Inhibition
277|Thyroid hormone synthesis, Decreased
402|Cognitive function, decreased
305|Inhibition, VegfR2
28|Reduction, Angiogenesis
110|Impairment, Endothelial network
298|Insufficiency, Vascular
1001|Increased, Developmental Defects
373|Formation, Pro-mutagenic DNA Adducts
378|Tumorigenesis, Hepatocellular carcinoma
376|Increased, Induced Mutations in Critical Genes
409|Metabolism of AFB1, Production of Reactive Electrophiles
491|Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)
493|Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts
388|Overactivation, NMDARs
389|Increased, Intracellular Calcium overload
618|Decreased, Neuronal network function in adult brain
875|Binding of agonist, Ionotropic glutamate receptors
414|Increase, Luteinizing hormone (LH)
415|Hyperplasia, Leydig cell
416|Increase proliferation, Leydig cell
417|skewed, sex ratio
418|Increased, Vitellogenin synthesis
419|Increased, renal vitellogenin deposition
421|Increased, glomerular rupture and renal hemorrhaging
422|Increased, nephropathy
425|Decrease of Thyroidal iodide
851|Decrease of GABAergic interneurons
424|Inhibition, Na+/I- symporter (NIS)
450|Decrease, Very low-density lipoprotein export capacity
451|Inhibition, Mitochondrial fatty acid beta-oxidation
216|Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)
465|Increased, Fatty acid influx
466|Up Regulation, LDLR (low density lipoprotein receptor)
467|Increased, LDL uptake
80|Up Regulation, CYP1A1
462|Up Regulation, SCD-1
456|Suppression, Constitutive androstane receptor, NR1I3
457|Activation, SREBF1
458|Increased, De Novo FA synthesis
454|Increased, Triglyceride formation
463|Up Regulation, FAS
468|Inhibition, PPAR alpha
470|Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)
461|Suppression, HNF4alpha
471|Inhibition, FoxA2
472|Down Regulation, CPT1A
474|Down Regulation, HMGCS2
477|Decreased, Ketogenesis
478|Activation, NRF2
479|Activation, NR1H4
480|Activation, SHP
482|Decreased, DHB4/HSD17B4
483|Activation, LXR alpha
878|Inhibition, SREBP1c
879|Activation, MTTP
880|Increased, ApoB100
881|Increased, Triglyceride
484|Activation, AKT2
486|systemic inflammation leading to hepatic steatosis
675|Reduced, Reproductive Success
488|Decrease, Ovulation
685|Reduced, Prostaglandins, ovary
494|Glucocorticoid Receptor Agonist, Activation
495|Repressed expression of steroidogenic enzymes
496|Increased apoptosis, decreased fetal/adult Leydig Cells
520|Decreased sperm quantity or quality in the adult, Decreased fertility
186|Altered, Neuroanatomy
192|Altered, Neurophysiology
505|Decreased sperm quantity / quality in the adult, Decreased fertility
653|Decreased testosterone by the fetal Leydig cells, Increased corticosterone
654|Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists
655|Decreased testosterone by the fetal Leydig cells, Increased COUP-TFII in fetal Leydig cells
656|Decreased, Chicken Ovalbumin Upstream Promoter Transcription Factor II (COUP-TFII)
657|Decreased testosterone by the fetal Leydig cells, Dysgenesis of fetal Leydig cells
658|Decreased testosterone by the fetal Leydig cells, Increased estradiol
659|Decreased testosterone by the fetal Leydig cells, Activation by other estradiol agonists
660|decreased testosterone by fetal Leydig cells, Dysgenesis of fetal Leydig cells
661|Decreased testosterone by the fetal Leydig cells, Alterations in the fetal testis proteome
642|Decreased Cholesterol, Decreased De Novo Biosynthesis of Choleseterol
643|Decreased Cholesterol, Decreased Uptake of Lipoproteins
644|Decreased Cholesterol, Decreased Transport of Cholesterol to the Inner Mitochondrial Membrane
645|Decreased Cholesterol, Decreased Testosterone Production by Adult Leydig Cells
646|Decreased Cholesterol, Decreased sperm quantity and/or quality in the adult testis
640|Decreased steroidogenesis, Proteomic alterations in the adult Leydig cell
647|Decreased, steroidogenic protein expression
648|Decreased steroidogenesis, Increased Apoptosis of Adult Leydig Cells
649|Decreased steroidogenesis, Alterations in the Leydig Cell Cytoskeleton
525|Apoptosis of adult Leydig cells, Decreased testosterone by adult Leydig cells
650|Stimulation of adult Leydig cells via the Adrenal Corticosterone, Increased Glucocorticoid
651|Glucocorticoid Receptor mediated alterations in steriodogenic enzymes, Decreased testosterone by adult Leydig cells
652|Direct effects of Corticosterone on steroidogenesis, Decreased testosterone by adult Leydig cells
1028|Activation of specific nuclear receptors, PPAR-gamma activation
1447|obesity
1448|activation of CCAAT/enhancer-binding protein alpha
1449|increased adipogenesis
1450|decreased dopamine
1451|decreased reward
1452|decreased DNA methylation of tyrosine hydroxylase
1453|decreased methylation of dopamine transporter promoter
1454|chronic high fat diet
526|Inhibition, Inhibition of Dopamine-beta-hydroxylase
527|Decreased, Decreased fecundity
528|Decreased, Synthesis of NE
529|Decreased, GnRH cfos activity
530|Decreased, GnRH pulsatility/release
531|Decreased, LH Surge
532|Delayed, Ovulation
533|Decreased, Cortical granule release/distribution upon fertilization
534|Altered, Formation of cortical envelope
535|Abnormal, Sperm penetration (polyspermy)
536|Altered, Chromosome number (polyploid) zygote
543|Decreased fertility in the adult, Decreased sperm quantity and/or quality in the adult testis
662|Decreased testosterone by the fetal Leydig cells, Hypermethylation in the fetal testis
540|Decreased testosterone by the fetal Leydig cells, Dysgensis of fetal Leydig cells
541|Decreased testosterone by the fetal Leydig cells, Decreased COUP-TFII stem Leydig cells
559|Activation, Nicotinic acetylcholine receptor
560|Abnormal, Foraging activity and behavior
563|Death/Failure, Colony
1107|Weakened, Colony
1243|Altered, Ca2+-calmodulin activated signal transduction
564|Abnormal, Roll change within caste
565|Reduced, Brood care
566|impaired, Larval development
568|impaired, Hive thermoregulation
570|Accumulation, Damaged mitochondrial DNA
571|Accelerated, Aging
572|Decrease, Number of worker bees
664|Overwhelmed, Mitochondrial DNA repair mechanisms
573|Increase, Energetic demands and therefore metabolic stress
574|Increased, Appetite and hunger
576|Increased, Viral susceptibility
577|impaired, Development
578|Decreased, Glucose oxidase enzyme activity
579|Decreased, Hydrogen peroxide production
580|Reduced, Antiseptic incorporated in food
561|Reduced, Food storage
1108|Abnormal, Role change within caste
663|Desensitization, Nicotinic acetylcholine receptor
584|Inhibition, sodium channel
585|Decreased, Sodium conductance 1
586|Reduced, swimming speed
587|Reduced, feeding 1
588|Increased, predation
592|Reduced, survival
444|Increased, Atrioventricular block and bradycardia
590|N/A, hypoxia
591|Increased, amputations
593|Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel
598|modulation, sodium channel
599|prolonged, Depolarization of neuronal membrane
600|Overactivation, Neuronotransmitter release
601|Overactivation, muscle contraction
602|Increased, Ataxia, paralysis, or hyperactivity
619|Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)
623|Increase, predation
625|Increased, muscular waves in foot
1139|Increased, water retention in foot
1142|Increased, valve movement
1143|Depletion, energy reserves
624|Increased, foot detachment
622|Increased, locomotion
626|Increased, serotonin (5-HT)
627|Decreased, anxiety
629|Decreased, sheltering
633|Decrease, histaminergic neuron excitation
634|N/A, sedation
635|Decreased, locomotion
636|Decreased, survival
638|Antagonism, Histamine Receptor (H2)
671|Reduced, Prostaglandin F2alpha concentration, plasma
672|Reduced, Prostaglandin F2alpha synthesis, ovary
673|Reduced, Spawning behavior
674|Reduced, Ability to attract spawning mates
678|Reduced, Pheromone release
681|Decreased, Prostaglandin F2alpha synthesis, ovary
687|Reduced, Prostaglandin E2 concentration, hypothalamus
689|Reduced, Gonadotropin releasing hormone, hypothalamus
690|Reduced, Luteinizing hormone (LH), plasma
691|Reduced, Maturation inducing steroid, plasma
692|Reduced, Maturation inducing steroid receptor signalling, oocyte
694|Reduced, Meiotic prophase I/metaphase I transition, oocyte
693|Increased, cyclic adenosine monophosphate
695|Upregulated, Spindle assembly checkpoint protein Mad2-oocyte
696|Increased, Chromosome misseggregation
697|impaired, ion channels
698|Altered, Action Potential
699|Increased, cardiac arrthymia
708|Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)
709|Increase, Cytotoxicity (renal tubular cell)
710|Increase, Regenerative cell proliferation (tubular epithelial cells)
713|Increase, Adenomas/carcinomas (renal tubular)
767|Increase, Hyperplasia (renal tubular cells)
714|Increased, Binding of chemicals to 2u (serum)
718|Binding, Tubulin
720|Disruption, Microtubule dynamics
721|Disorganization, Meiotic Spindle
728|Increase, Aneuploid offspring
752|Altered, Meiotic chromosome dynamics
723|Altered, Chromosome number
715|Activation, Constitutive androstane receptor
774|Increase, Preneoplastic foci (hepatocytes)
1214|Altered gene expression specific to CAR activation, Hepatocytes
768|Increase, Cytotoxicity
726|Increased, Induction of pyruvate dehydrogenase (PDH)
724|Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme
769|Increase, Oxidative metabolism
733|Increase, Necrosis (terminal bronchiolar cells)
734|Increase, Regenerative cell proliferation (terminal bronchiolar epithelial cells)
735|Increase, Hyperplasia (terminal bronchiolar cells)
736|Increase, Adenomas/carcinomas (bronchioloalveolar)
770|Increase, Cytotoxicity (club cells)
739|Increase, Hypertrophy and proliferation (follicular cell)
740|Increase, Hyperplasia (follicular cells)
741|Increase, Adenomas/carcinomas (follicular cell)
1023|Increased, Thyroid-stimulating hormone (TSH)
743|Decreased, Testosterone binding to androgen receptor (hypothalamus)
744|Increase, Hyperplasia (Leydig cells)
745|Increase, Leydig cell tumors
754|Increased, Luteinizing hormone (LH)
1614|Decrease, androgen receptor activation
746|Increase, Dopaminergic activity
747|Decreased, Prolactin
749|Decreased, Progesterone from corpus luteum
772|Increase, Hyperplasia (glandular epithelial cells of endometrium)
773|Increase, Endometrial adenocarcinomas
760|Activation, Glutamate-gated chloride channel
761|Increased, Chloride conductance
763|hyperpolarisation, neuron
764|N/A, Ataxia, paralysis, or hyperactivity
765|Decreased, population 1
766|Inhibition, 4-hydroxyphenyl-pyruvate dioxygenase (HPPD) enzyme
775|Increased, Plasma tyrosine
776|Increase, Cytotoxicity (corneal cells)
777|Increase, Inflammation (corneal cells)
778|Increase, Regenerative cell proliferation (corneal cells)
779|Increase, Papillomas/carcinomas (squamous cells)
780|Increase, Cytotoxicity (epithelial cells)
781|Increase, Regenerative cell proliferation (forestomach epithelial cells)
782|Increase, Hyperplasia (forestomach epithelial cells)
783|Increase, Cytotoxicity (tubular epithelial cells)
784|Increase, Hyperplasia (tubular epithelial cells)
786|Increase, Cytotoxicity (hepatocytes)
787|Increase, Regenerative cell proliferation (hepatocytes)
791|Increased, Leutinizing hormone (LH)
1617|Inhibition, 5α-reductase
793|Increase, Urinary bladder calculi
794|Increase, Cytotoxicity (urothelial cells)
795|Increase, Regenerative cell proliferation (urothelial cells)
796|Increase, Hyperplasia (urothelial)
797|Increase, Adenomas/carcinomas (urothelial)
798|Inhibition, Prolyl hydroxylases
799|Increased, HIF-1 heterodimer
800|Decreased, Aromatase (Cyp19a1) mRNA
801|modulation, Unknown
802|Increased, HIF-1 alpha transcription
804|Inhibition, HMG-CoA reductase
805|Decreased, mevalonate
807|Decreased, cholesterol
809|malformed, Male reproductive tract
330|Decrease, Fertility
848|Decreased, Binding of NE to NE receptors on GnRH neurons
849|Inhibition, Antgonism of NE receptor
814|Occurrence, Kidney toxicity
819|Decreased, Glomerular filtration
820|Decreased, Renal plasma flow
821|Decreased, Sodium reabsorption
813|Increased, Serum creatinine
823|Occurrence, Cystic dilatation (renal tubule)
824|Occurrence, Cytoplasmic vacuolization (podocyte)
818|Occurrence, Cytoplasmic vacuolization (Renal tubule)
825|Decreased, Renal ability to dilute urine
828|Inhibition, Phospholipase A
829|Damage, Lipid bilayer
831|Disturbance, Lysosomal function
833|Occurrence, Cytoplasmic vacuolization (hepatocyte)
835|Occurrence, Ballooning degeneration (hepatocyte)
837|Occurrence, Cytoplasmic vacuolization (kupffer cell)
838|Induction, Microvesicular fat
839|Formation, Mallory body
840|Formation, Liver fibrosis
836|Occurrence, Cytoplasmic vacuolization (Bile duct cell)
844|Oxidation, Uroporphyrinogen
845|Inhibition, UROD
846|Accumulation, Highly carboxylated porphyrins
369|Uroporphyria
850|Induction, CYP1A2/CYP1A5
867|Decrease, Intracellular pH
868|Increase, Tissue Degeneration, Necrosis & Atrophy
870|Increase, Cell Proliferation
869|Increase, Respiratory or Squamous Metaplasia
872|Increase, Site of Contact Nasal Tumors
876|Increase, Mutations in Critical Genes
877|Inhibition, organic anion transporter 1 (OAT1)
1096|Increased, blood uric acid concentration
1097|Occurrence, renal proximal tubular necrosis
1098|Increased, blood potassium concentration
1102|Occurrence, tophi (urate) deposition
1106|Occurrence, cardiac arrhythmia
885|Increase, Cancer
1539|Endocytotic lysosomal uptake
898|Disruption, Lysosome
1494|Leukocyte recruitment/activation
941|Activation, EGFR
962|Increase, Mucin production
1250|Decrease, Lung function
2117|Increase, goblet cell number
927|KE1 : S-Glutathionylation, eNOS
935|KE2 : Decrease, GTPCH-1
934|KE3 : Decrease, Tetrahydrobiopterin
932|KE4 : Uncoupling, eNOS
933|KE6 : Depletion, Nitric Oxide
937|KE7 : Impaired, Vasodilation
951|KE8 : Increase, Vascular Resistance
952|Hypertension
973|KE5 : Decrease, AKT/eNOS activity
945|reduced dimerization, ARNT/HIF1-alpha
948|reduced production, VEGF
1891|abnormal, placental vasculature morphology
1892|increase, placental insufficiency
1893|increase, Preeclampsia
957|Binding, Transthyretin in serum
958|Displacement, Serum thyroxine (T4) from transthyretin
959|Increased, Free serum thyroxine (T4)
960|Increased, Uptake of thyroxine into tissue
964|Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle between diestrus 2 and proestrus inhibits aromatase conversion of testosterone to estradiol
968|Decreased, release of kisspeptin from anteroventral periventricular nucleus (AVPV) neurons
969|Decreased GnRH Release, Decreased Kisspeptin stimulation of GnRH neurons
970|Decreased LH release from Anterior Pituitary, Decreased GnRH stimulation of Anterior Pituitary Gonadotrophs
971|Ovulation of oocytes Reduced, Delayed, or Blocked, Decrease or delay in LH surge required for ovulation
972|Decreased fertility, Reduced number of oocytes ovulated
1056|Decrease, E2 blood concentrations at hypothalamus
979|Interference, nuclear localization of NFAT
981|Reduction, NFAT/AP-1 complex formation
984|Impairment, T-cell dependent antibody response
1202|Suppression, IL-2 and IL-4 production
980|Inhibition, Calcineurin Activity
1002|Inhibition, Deiodinase 2
1003|Decreased, Triiodothyronine (T3)
1004|Reduced, Posterior swim bladder inflation
1005|Reduced, Swimming performance
1007|Reduced, Anterior swim bladder inflation
1009|Inhibition, Deiodinase 1
762|Activation, ionotropic GABA Receptor chloride channel
1012|Increased, Inhibitory postsynaptic potential
1014|Induction, Somatic muscle paralysis
1015|Increased, Neuronal synaptic inhibition
1016|Inhibition, Feeding
1018|Activation, Glutamate-gated chloride channels
1019|Induction, pharyngeal muscle paralysis
1029|Increased, adipogenesis
1032|Increased, secretion of local growth factors
1033|Increased, proliferation of mesenchymal cells
1034|Increased, IGF-1 (mouse)
1035|Increased, Firbrosarcoma
1036|Increased, liposarcoma
1037|Increased, hemagiosarcoma
1038|Activation, beta-2 adrenergic receptor
1039|Increased activity, beta-2 adrenergic receptor
1040|relaxation, smooth muscle
1042|Proliferation/Clonal Expansion, smooth muscle
1043|Hypertrophy/hyperplasia, smooth muscle
1044|Promotion, mesovarian leiomyomas
1045|Decreased, Ovarian E2
1046|Suppression, Estrogen receptor (ER) activity
1047|Increased, secretion of GnRH from hypothalamus
1049|Increased, secrection of FSH from anterior pituitary
1050|Increased, secretion of LH from anterior pituitary
1051|Hyperplasia, ovarian stromal cells
1052|Hyperplasia, ovarian epithelium
1053|Promotion, ovarian adenomas
1054|Promotion, ovarian granular cell tumors
1057|Increased, PPAR-alpha activation
1058|Decreased, bile flow
1059|Increased, cholestasis
1060|Alteration, lipid metabolism
1061|prolonged, elevation of serun CCK
1062|Increased, Cellular proliferation / hyperplasia of acinar cells
1063|Increased, Pancreatic acinar tumors
1066|Promotion, Sine oculis homeobox 1 positive progenitor cells in endometrium
1068|Endometrial squamous metaplasia, Increase
1070|Increased, adenosquamous carcinomas of endometrium
2329|Sine oculis homeobox 1 gene expression, increased
2330|Sine oculis homeobox 1 protein expression, increased
1071|Decreased, GnRH pulsatility/release in hypothalamus
1072|Decreased, LH Surge from anterior pituitary
1074|interruption, Ovulation
1075|prolonged, estrus cycle
1076|Increased, circulating estrogen levels
1077|Increased, prolactin exposure
1078|Hyperplasia, Mammary gland
1079|Increased, Adenomas/carcinomas (mammary)
1080|Increased, latency period
1081|Increased, lactotroph hyperplasia and hypertrophy
1082|Increased, adenomas (pituitary)
1083|Decreased, Dopaminergic activity
1084|Increased, prolactin secretion
1085|Increased, hyperplasia (mammary gland)
1086|persistent, cytotoxicity (pleura or peritoneum)
1087|Increased, inflammation
1089|Increased, Cell Proliferation (mesothelium)
1090|Increased, mesotheliomas
1495|Substance interaction with the lung resident cell membrane components
1497|Increased, recruitment of inflammatory cells
1498|Loss of alveolar capillary membrane integrity
1499|Increased, activation of T (T) helper (h) type 2 cells
1500|Increased, fibroblast proliferation and myofibroblast differentiation
1458|Pulmonary fibrosis
1101|Altered, Amphibian metamorphosis
1104|Decreased, Prostaglandin F2alpha concentration, plasma
1105|Occurrence, renal ischemia
1103|Inhibition, Cyclooxygenase 1 activity
1109|Increased, Deformed Wing Virus levels
1110|Increased, Energetic demands and therefore metabolic stress
1114|Unknown, MIE
1122|Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failure of secondary hemostasis
1130|Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)
1131|Failure in gamma-glutamyl carboxylation of clotting factors II, VII, IX and X, Under carboxylation of clotting factors (e.g., des-gamma-carboxy prothrombin)
1132|Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tissue, impaired carbon dioxide and waste product removal
1133|Hemostasis, Depletion from blood of fully functional carboxylated clotting factors
1134|Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone
1135|Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction
1136|Impaired recruitment , Population trajectory
1138|Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP
1151|Osteoporosis and vascular calcification, Bone deterioration
1169|Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment of post-translational modification (carboxylation) of osteocalcin
1152|Inhibition, Iodotyrosine deiodinase (IYD)
1116|Decreased, Triiodothyronine (T3) in tissues
1828|Increased, Thyroxine (T4) in serum
1829|Altered, Thyroid hormone-dependent gene expression
1153|Inhibition, Deiodinase 3
1154|Increased, Triiodothyronine (T3) in tissues
1155|Inhibition, Pendrin
1156|Inhibition, Dual oxidase
1157|Activation, Hepatic nuclear receptor(s)
1158|Increased, Hepatic thyroid hormone uptake/transport
1161|Increased, oocyte maturation
1164|Increased, Population
1255|induced spawning
1163|Increased, Reproductive Success
621|Increase, cilia movement
1215|TRPA1 activation, TRPA1 Receptor
1218|Opening of calcium channel, Calcium influx
1220|Trigeminal nerve activation
1222|SP (Substance P) release, Local increase of SP
1223|Trigeminal and/or vagal nerve excitation causes Airway Hyper-responsiveness,Cough, Dyspnea
1226|Increased Respiratory irritability and Chronic Cough,
1433|Increased CGRP, neuronal release of CGRP
1434|Irritation of nasal mucosa inducing sneeze reflex
1435|Increased neurokinin A (NKA) by neuronal cells
1176|Decreased, sodium conductance 2
1179|Decreased, GABA release
1182|Increase, Cell Proliferation (Epithelial Cells)
1183|Decreased, Apoptosis (Epithelial Cells)
1187|Increased, ER binding to DNA (classical pathway)
1188|Increased, ER binding to T.F. to DNA (non-classical pathway)
1189|Increased, Proliferation (Endothelial cells)
1190|Increased, Migration (Endothelial Cells)
1191|Increased, Non-genomic signaling
1192|Increased, Ductal Hyperplasia
1193|N/A, Breast Cancer
1194|Increase, DNA damage
1195|modulation, Extracellular Matrix Composition
1196|Increased, Invasion
1197|Activation, Fibroblasts
1198|Activation, Macrophages
1213|Increased, Angiogenesis
1239|Altered, Gene Expression
1240|Altered, Protein Production
1241|Increased, Motility
1242|Increased, Second Messenger Production
1205|Activation, Juvenile hormone receptor
1206|Induction, Doublesex1 gene
1208|Increased, Male offspring
1209|Induction, Male reproductive tract
